GeneID	GSM1122673	GSM1122674	GSM1122675	GSM1122676	GSM1122677	GSM1122678
9761	27.53	26.14	23.7	20.67	16.11	17.94
84747	11.79	11.56	13.16	10.08	8.613	11.05
100616329	18.32	19.18	24.9	21.7	16.48	18.66
35	8.718	8.656	7.296	11.61	12.02	9.617
121665	10.09	10.25	10.01	6.758	5.7	6.21
105500240	0	0	0	0	0	0
283460	0	0.003569	0	0	0	0
6927	0.181	0.1874	0.1635	0.1457	0.1474	0.1753
64897	4.638	4.547	4.534	3.56	3.29	3.646
8638	0.7703	0.7882	0.4166	1.038	1.17	0.3722
105378258	0.005488	0	0.00623	0.0366	0.06184	0.01547
105370031	0.009871	0.02841	0.02988	0.06582	0.03398	0.0402
105370030	0.002601	0.002807	0.008857	0.02601	0.04396	0.04889
105370032	0.005856	0.01264	0.06648	0.04556	0.04949	0.04954
5027	2.008	1.414	2.21	8.252	8.538	7.842
5025	10.26	9.02	11.1	27.9	33.47	24.44
10645	9.27	8.864	8.493	7.907	7.203	7.603
51433	60.12	57.37	58.17	44.79	36.76	44.46
80196	17.92	17.13	14.72	16.61	15.92	14.32
84678	10.98	10.09	11.46	10.12	9.219	10.16
102465665	2.232	1.862	2.303	1.466	1.429	1.717
101928346	0.4341	0.4529	0.4763	0.4181	0.4619	0.4488
105370033	0.07997	0.04316	0.06808	0.06666	0.03754	0.02819
84876	39.87	45.79	41.1	37.33	39.54	33.08
283385	0.1984	0.1551	0.1769	0.2137	0.1692	0.1731
105370034	0.2582	0.08614	0.2931	0.24	0.1014	0.1633
144404	4.595	5.049	4.045	3.994	3.544	3.782
54509	11.86	14.42	9.747	10.11	9.309	9.622
107984442	0.03161	0	0	0.07027	0.02226	0.01486
338799	5.647	4.554	7.008	6.317	3.378	3.604
23067	7.662	6.541	6.767	9.527	7.371	7.04
3242	0.2094	0.2803	0.1426	0.2188	0.2045	0.1535
105370035	0.04429	0	0	0.04923	0.04159	0.02082
5715	18.23	19.32	18.68	17.51	18.55	17.71
144406	0.1488	0.1421	0.1083	0.1463	0.1881	0.1202
605	10.68	10.17	10.54	8.392	6.069	8.417
100506691	1.942	1.718	2.011	1.769	2.161	1.411
22877	18.37	14.95	17.27	28.07	22.82	20.87
254050	0.08232	0.05077	0.07675	0.1078	0.127	0.1658
386653	0.008756	0	0	0	0.008222	0.00823
79369	5.564	5.447	5.656	6.03	5.749	6.568
56616	10.13	9.908	10.59	11.62	11.12	12.44
101593348	0.1312	0.123	0.1528	0.0307	0.0616	0.1006
65082	8.596	8.578	7.979	11.84	12.78	11.67
6249	5.782	5.853	5.23	6.395	6.41	6.467
100507066	0.009059	0	0	0	0.008506	0
55596	7.056	5.768	6.509	5.579	4.236	5.522
65117	15.65	13.67	15.9	15.65	13.36	15.19
9735	11.05	9.376	9.537	6.597	4.151	4.756
113218484	0	0	0	0	0	0
338442	0.06289	0.08061	0.1115	1.031	0.9855	0.5172
113218511	0	0	0	0	0	0
8843	0.1105	0.1023	0.08963	1.742	1.82	0.8126
27198	0.003404	0.001837	0.003864	0.007567	0	0.0016
8562	40.94	39.31	42.29	44.82	41.11	47.04
84660	0.2938	0.2444	0.3293	0.2413	0.1529	0.3078
9026	1.9	1.457	2.03	1.962	1.603	2.382
79720	27.28	25.62	32.08	20.01	20.09	21.78
23457	1.593	1.41	1.536	1.589	1.325	1.224
79676	8.278	7.013	8.431	9.954	7.993	9.473
51329	69.96	70.83	70.45	62.79	59.38	63.28
57605	11.22	9.818	10.19	9.994	8.405	6.201
100422931	0	0	0	0	0.2459	0.2461
100507091	0.05927	0.03599	0.008411	0.04941	0.01739	0.01045
10198	8.162	6.642	7.643	7.121	5.237	6.502
91574	6.002	5.057	4.572	5.769	4.503	4.175
8099	71.81	75.66	81.45	58.51	55.37	64.86
55206	11.44	10.66	10.59	11.59	11.34	11.27
102466877	10.75	12.05	9.559	11.05	12.96	8.869
112268105	1.748	1.326	1.65	0.9618	0.5525	0.9597
387893	16.65	15.44	15.62	13.67	12.07	12.51
196383	30.89	29.02	33.78	37.62	33.28	41.29
11066	3.013	2.808	3.216	2.806	2.783	2.784
353116	0.7074	0.6397	0.621	0.765	0.8976	0.6594
100500909	0	0	0	0	0	0
101927415	0.06659	0.06052	0.07161	0.1558	0.03949	0.03953
10959	83.92	81.01	78.01	66.08	65.39	67.52
57696	6.071	5.05	5.411	4.201	3.265	3.648
105370041	1.575	1.324	1.424	1.154	0.8439	1.015
109616977	0.4957	0.6688	1.266	0.9641	0.2327	0.3494
1967	28.67	28.05	27.98	18.5	16.26	19.57
2967	16.98	15.44	16.62	14.79	12.84	15
79867	2.138	1.507	1.793	1.462	1.013	1.445
23545	44.77	36.13	46.51	49.75	43.19	47.55
105370042	0.1092	0.08248	0.1301	0.1335	0.07176	0.07696
196385	0.1714	0.1819	0.1567	0.3671	0.4636	0.218
105370044	0.04504	0.0216	0.06249	0.08899	0.04229	0.09407
80212	3.928	4.197	3.856	6.752	8.697	6.24
100533183	1.625	1.721	1.55	1.331	1.276	1.274
144348	30.8	28.3	30.95	26.75	23.61	27.01
144347	0.009039	0.003252	0.01026	0.003349	0.002829	0.005664
9612	32.12	28.13	27.25	37.33	36.42	27.41
102466204	0.5237	0.4239	0.1486	0.291	0.2459	0.3691
105370047	0.03448	0.04519	0.02236	0.03558	0.00925	0.02083
101927436	0	0	0	0	0	0.008779
949	15.44	15.54	12.43	9.239	7.117	7.073
105370050	0.06798	0.02935	0.03087	0.01511	0.01277	0.01278
107984444	0	0.03331	0	0.0343	0.02898	0
105370051	0.02101	0.007559	0.0318	0.03113	0.0263	0.01316
7316	539.5	610.8	694.1	648.4	834.7	839.7
100847004	0	0.2326	0.08154	0	0.06745	0
100189232	0	0	0	0	0	0
100189343	0	0	0	0.1253	0.3176	0
100009606	0	0	0	0	0	0
100189347	0.6764	0.2434	1.92	1.378	3.493	3.179
100189339	0.6764	0	0.8958	0.1253	0.1059	0.3179
57647	12.38	11.65	10.85	6.309	4.763	6.313
140707	13.32	13.48	11.86	7.009	5.365	5.96
102659353	10.17	9.844	8.558	5.041	4.005	4.51
105370052	0.006452	0.01393	0	0.01076	0.003029	0.006064
65985	32.54	31.94	29.83	43.05	44.27	40.6
105370053	0	0	0	0	0	0
114795	0.001361	0.001469	0	0.003529	0.001278	0
105370054	0	0	0	0	0	0
107984445	0	0	0	0	0	0
105370055	0	0	0	0	0	0
400084	0	0	0	0	0	0
105370057	0	0	0	0	0	0
105370058	0	0	0	0	0	0
105370056	0	0	0	0	0	0
101927464	0	0	0	0	0	0
107984447	0	0	0	0	0	0
107984446	0	0	0	0	0	0
105379613	0	0	0	0	0	0
101927531	0	0	0	0	0	0
107984448	0	0	0	0	0	0
283435	0	0	0	0	0	0
105370059	0	0	0	0	0	0
100128554	0.006618	0	0	0	0	0
100996671	0	0	0	0	0	0
105370060	0	0	0	0	0	0
387895	0	0	0	0	0	0
100507206	0	0	0	0	0	0
440117	0	0	0	0	0	0
105370061	0	0	0	0	0	0
101927592	0	0	0.006891	0	0	0
105370063	0	0	0	0	0	0
107984449	0.006681	0.00721	0.007583	0.003712	0.006273	0.009418
107984450	0.004299	0	0.00976	0.004778	0.004037	0
105370062	0	0.01178	0.003098	0.01517	0.01025	0.01283
105370064	0	0	0	0	0	0
105370065	0	0	0	0	0	0
101927616	0	0	0	0	0	0
105370066	0	0	0	0	0	0
105370067	0	0	0	0	0.002406	0.002408
101927637	0	0	0	0	0	0
105370068	0	0	0	0	0	0
105370069	0	0	0	0	0.01132	0
400087	0	0	0	0.004466	0	0.007553
104472718	0	0.04908	0.03871	0	0.07472	0.02671
100862680	0.003813	0	0.004328	0	0	0
105370070	0	0	0	0	0	0
105370071	0	0	0	0	0	0
100996679	0	0	0	0	0	0
101927694	0	0	0	0	0	0
107987176	0	0	0	0	0	0
92293	0	0	0	0.004666	0.003942	0
100500817	0	0	0	0	0	0
121260	4.776	4.312	4.633	4.644	3.866	4.515
100128276	0	0	0	0.01919	0	0
144423	0.0219	0.01091	0.01912	0.08239	0.06644	0.0475
105370073	0	0	0	0	0	0
121256	0	0	0	0	0	0
283352	0	0	0	0	0	0
101927735	0	0	0	0	0	0
105370074	0	0	0	0	0	0
105370076	0	0	0	0	0	0
100190940	0	0.008185	0	0.00281	0	0
105370077	0	0	0	0	0	0
105370078	0	0	0	0	0	0
440119	0	0	0	0.004906	0.008289	0.002074
11211	0	0	0	0	0	0
107984480	0	0	0	0	0	0
101927786	0	0	0	0	0	0
9271	0	0	0.004254	0	0	0
23504	0	0	0.004539	0	0.001502	0.0007516
105370079	0	0	0	0.007137	0	0
105370080	0	0	0	0	0.003558	0
107984451	0.003034	0	0	0.003372	0.001424	0.002851
2054	1.686	1.552	1.371	1.244	1.202	0.8278
5901	154.7	164	145.3	100.4	87.91	97.79
283383	0.005784	0.01605	0.004689	0.009183	0.02095	0.003106
105755954	0.04115	0	0	0.01143	0	0.009669
