"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102",25.236957977261,-0.387481693709617,0.53876741249579,-0.719200316727851,0.472017504285383,0.627608106155974
"653635",2090.30232419329,0.162790603043456,0.162040624262437,1.00462833801359,0.315075846618455,0.473861975323398
"102466751",20.6275593628847,0.371946933087922,0.601984932475198,0.617867512993354,0.536662675438164,0.683412325882131
"107985730",3.89750351178501,1.51904733687538,1.1676481919156,1.30094607895833,0.193276912101642,NA
"100996442",175.853965860677,0.43882106113693,0.236271437534696,1.85727511423165,0.0632720230784905,0.139087044596727
"729737",667.744985993588,-0.158722902244666,0.3176776369035,-0.499635113732857,0.617332028490783,0.74929457497037
"102725121",16.9050962105827,-0.425194628213798,0.762422294260573,-0.557689132931466,0.577056679581211,0.717857200303276
"102723897",2429.39303146236,0.145740879057971,0.155104302296522,0.939631440908389,0.347406643079051,0.507350343927309
"102465909",15.6034477602995,0.406784114521707,0.63628467566023,0.639311506441067,0.522620304530736,0.671071122137457
"107985721",7.21607804034326,1.01163381622768,0.861426546826936,1.17437037429834,0.240246706333118,NA
"112268260",69.5504383373752,0.396472661599607,0.408011680827587,0.971718899800676,0.331190411708256,0.490083735436061
"100132287",635.0578450486,-0.0762995303509813,0.277545726516813,-0.274907963125706,0.783386949092076,0.870793548283923
"105378947",11.2787055431191,0.084403286905948,0.734475522054528,0.114916405477815,0.908511381550734,0.948839930161743
"113219467",16565.85749253,0.369308530734852,0.17971908062379,2.05492109937917,0.0398866261596751,0.0960129114764232
"81399",11.0603143235917,0.228637396513014,0.657596567662929,0.347686420149031,0.72807569628625,0.833890828520937
"100133331",614.142251442435,-0.0268313404744829,0.266756071548821,-0.100583804217451,0.919880853858545,0.956158800338118
"107984841",95.6517530206614,-0.00438602459064292,0.33554949316063,-0.0130711703639597,0.989571011950804,0.994052582277672
"107984847",129.961145650852,-0.0166025566492951,0.307892298765396,-0.0539232605552949,0.956996304380823,0.977344234080798
"107984849",20.8768060030151,-0.102431374217586,0.577604350187854,-0.177338301181894,0.859242667549309,0.920140044361118
"100288069",137.821769304266,-0.0416273022013045,0.29877754023761,-0.139325406348146,0.889193014310625,0.937740226267752
"105378580",66.9887589116641,0.256958446721071,0.320885501123509,0.800779236897235,0.423259461212686,0.582594130790659
"400728",41.6685657894945,-0.259478336707027,0.393465960630165,-0.659468321710608,0.509595081833786,0.659665312840315
"79854",49.0387360455116,-0.0446276189370222,0.353915459340605,-0.126096834029714,0.899655273546889,0.943513115496736
"643837",1107.5041424777,-0.163652317042034,0.120222191825149,-1.36124882234762,0.173435070092968,0.305831328155898
"107984850",205.055318428332,2.09269380597664,0.243472477424219,8.59519658285809,8.31223752645405e-18,6.03278974300475e-16
"284593",32.0991214431407,1.12384584785389,0.488073370838963,2.30261660438897,0.0213004240878508,0.0570312860325869
"284600",7.15335159538656,-0.441712789312355,1.28581501961096,-0.343527476795223,0.731201673591085,NA
"107985728",1.83462519050526,-0.873094220637357,1.57857797578769,-0.553089067520846,0.580202422342555,NA
"148398",620.358635166196,-0.497386214346416,0.142807374907344,-3.48291686384635,0.000495982363288893,0.00230978717473131
"26155",11138.2153527565,-0.49716659588063,0.123653653908851,-4.02063813049233,5.80407045957769e-05,0.000350284790408203
"339451",298.623688329249,-0.505025087012558,0.227688154024177,-2.21805604765424,0.0265510111318351,0.0683368332142837
"84069",11.9492220484499,-1.96521796236008,0.830097338748413,-2.36745484008316,0.0179109057507813,0.0493274540215085
"84808",2.0282293141529,-1.67045995054053,1.65067262273156,-1.0119874332054,0.31154406207993,NA
"57801",21.3899665398516,0.168828242377505,0.558337594946533,0.302376633609406,0.762364965241163,0.857394563825318
"9636",2209.83705972632,0.609422079600843,0.154704731701704,3.93925947123522,8.17334978639497e-05,0.000475258021010966
"375790",4307.42549678079,-0.371484552898065,0.103642027177556,-3.58430419603479,0.000337978000060579,0.00166550766330402
"100288175",71.4395585214004,-0.535479186700626,0.320144932575416,-1.67261490723263,0.0944031303256646,0.190284029537471
"112267874",20.3911299346741,-0.329268366116823,0.531524636022597,-0.619479030324429,0.53560083204395,0.682624368536527
"105378948",69.655575991002,-0.507533546516403,0.285597000421357,-1.77709690846756,0.0755522967500162,0.159875430393619
"54991",1013.1374061011,-0.332997503867729,0.126098746523154,-2.64076775582052,0.00827184009399406,0.0258132145582575
"100506376",7.934681095746,0.300091956903166,0.952232233519839,0.315145766273741,0.752650981113851,NA
"254173",143.740410273184,-0.311350659788162,0.270217479725981,-1.15222249909182,0.249229654496109,0.401177642645766
"8784",563.629692932508,-0.316878507559649,0.16401963087575,-1.93195476582736,0.0533650892518331,0.121560598112345
"7293",1245.08842420415,-0.395605300017992,0.127887218763244,-3.09339200464099,0.0019788256003585,0.00761481406952772
"51150",15246.783180105,-0.0811915647041655,0.115905189724607,-0.700499821423685,0.483615216647131,0.637708533662096
"126792",4064.48366538229,-0.40043017190167,0.113876816171501,-3.516344988945,0.000437532063059118,0.00207030691679052
"388581",24.9902073350863,-0.701071852780249,0.455858108838624,-1.53791681926279,0.124068954315582,0.236020136790606
"118424",6075.96507198174,-0.313721673685474,0.114736192271563,-2.73428695404971,0.00625155365228377,0.0202946753247384
"101928895",29.0432970274006,-0.00116842510129243,0.477929071592077,-0.00244476674624579,0.998049360301531,0.998734046956113
"6339",104.22158924337,-0.0325622710282352,0.323149577379249,-0.100765321410339,0.919736756187893,0.956109705313597
"116983",2503.32454601061,-0.207804838481662,0.116181832006326,-1.78861733278872,0.0736764645020513,0.156762996953545
"109623456",6.63471235011237,0.0824931536205328,0.905954605210109,0.0910566082959543,0.927447610914926,NA
"126789",1441.6526146017,-0.347087170642578,0.114792144831106,-3.02361430003114,0.00249774655676977,0.00930691105647265
"54973",7138.80808147599,-0.0726433310923891,0.0942295601320736,-0.770918711607812,0.440755115386101,0.598826340869719
"102465435",11.8004635866468,-0.615785562375592,0.645072101765575,-0.954599587689772,0.339780225764022,0.499151766394372
"80772",2061.41616044241,0.644726191101785,0.175235709334549,3.67919411831133,0.000233972130864759,0.00120313723245668
"83756",74.2322524160659,0.319446716771465,0.307078002270176,1.04027873833309,0.298210419272319,0.456460563453117
"1855",3320.50234848043,-0.351342326083077,0.105001618419101,-3.34606581663091,0.000819669372254078,0.00357830452845373
"102466740",1.63518519895534,0.525812538944793,1.63069607724249,0.322446681685738,0.747114324190987,NA
"54587",166.923750385167,0.316341627602904,0.28510909283659,1.10954590909598,0.267194750984115,0.421840337426217
"54998",5811.87471362802,-0.228033811039183,0.185971288483837,-1.22617750781999,0.220131883486478,0.365608574112953
"81669",4285.89478900807,-0.192332652810861,0.205029580511788,-0.938072703122968,0.34820704875143,0.5081655466402
"148413",2665.18315895533,-0.0757477710619098,0.11487066502955,-0.659417885692782,0.509627459912246,0.659665312840315
"55052",5551.98270389596,-0.224402006083773,0.136252875440787,-1.64695244307922,0.0995678212495961,0.198502157068095
"107984868",4.3119027082061,-0.513019462864662,1.23441042153659,-0.415598778100122,0.677703620955435,NA
"441869",15.866362577741,-0.190658214198948,0.577543451642487,-0.330119255368113,0.741309854374475,0.842770637326571
"102724312",2.60368552986191,0.673669872670677,1.3435528397357,0.501409287931839,0.616083104482863,NA
"107985729",2.45494837116416,0.923284476503326,1.35615026853469,0.680812811032311,0.495989942750675,NA
"64856",334.750745776734,0.754278510900468,0.21408560080936,3.52325662281296,0.000426278398677489,0.00202319818632048
"219293",405.417430514487,-0.515397197121596,0.145899229094441,-3.53255599992225,0.000411563049382024,0.00196627932184185
"83858",3925.31142665375,-0.729929042923109,0.138403070888062,-5.27393675761329,1.33527937840397e-07,1.52898783115271e-06
"55210",6198.54057615571,-0.72373936718833,0.146465887995658,-4.94135103465036,7.75830806771417e-07,7.43840502985651e-06
"339453",12.1830028173884,-0.291778241232708,0.66543717166868,-0.438476017955281,0.661041251162601,0.783713611146532
"29101",10674.6071271652,-0.139796278957188,0.132541753268082,-1.05473388958748,0.291547047727021,0.449081637732454
"643988",1566.3864325969,-0.075306264445344,0.127628725803592,-0.590041653798477,0.555162724043967,0.698901048106113
"105378586",149.666993391438,-0.303376708200059,0.211765644741832,-1.43260588170433,0.151970499936029,0.276095126011149
"142678",3198.48560650946,0.502177196776674,0.149296351092391,3.36362672699151,0.000769255097349135,0.00338592304944688
"8510",194.60151114442,0.153971347809725,0.223457533726385,0.689040755270562,0.490797620753515,0.644847642681873
"984",6700.25621819297,0.0478690483240795,0.113741322493115,0.420858904001026,0.673858115791398,0.793571142625902
"728661",14076.3990244938,0.547657168753002,0.126646421231523,4.32430039023234,1.53016679793817e-05,0.000107367741593851
"8511",36.9890135277027,0.0969802005471682,0.544169013460565,0.178217057840976,0.858552513946538,0.919811497147639
"728642",4525.4647466776,0.0793127790807376,0.144444973524466,0.549086459331199,0.582946117246548,0.722225386002517
